state,city,bedrooms,bathrooms,num_of_property,market_size,avg_price,min_price,max_price,avg_size,min_size,max_size,avg_lot,min_lot,max_lot
New Jersey,Summit,3,2,4,2386900,596725,389000,899900,171.31337154748746,166.11079627272645,176.51594682224845,0.20369195333333334,0.0809372,0.42492030000000003
New Jersey,Belleville,4,3,4,2209499,552374.75,489999,599500,234.11588736424531,220.737836657717,247.49393807077362,0.058004993333333331,0.04451546,0.06879662
New York,New York,10,6,4,14400000,3600000,2200000,6000000,330.36352994732391,306.58032869127362,377.92993245942455,0.01618744,0.00809372,0.0202343
New York,Montauk,2,1,4,4093000,1023250,899000,1200000,65.775415973764154,54.812846644803464,71.25670063824451,,,
New York,Briarwood,2,1,4,1217888,304472,252888,335000,94.451515404887331,88.257973411124226,102.1934428970912,,,
New Jersey,Manalapan,2,1,4,1068900,267225,225000,300000,105.25924618400394,104.9805367942846,105.53795557372328,0.13759324,0.00404686,0.404686
New York,Forest Hills,3,2,4,3625900,906475,849900,949000,120.77406887838052,120.77406887838052,120.77406887838052,0.024281160000000003,0.0202343,0.028328020000000002
New Jersey,Asbury Park,3,2,4,1720000,430000,325000,620000,135.82437592322486,120.40245635875473,151.246295487695,0.051260226666666665,0.0404686,0.06879662
New Jersey,Woodbridge,2,2,4,1529900,382475,245000,550000,97.548286401768877,97.548286401768877,97.548286401768877,0.09307778,0.09307778,0.09307778
New Jersey,Piscataway,4,3,4,2271999,567999.75,431999,775000,218.724935509744,178.18820316056448,247.67974433058652,0.08498406,0.07284348,0.09307778
New Jersey,Absecon,2,2,4,489300,122325,114900,126900,94.6063539547314,87.328942112059764,99.870864649430047,,,
New York,New York,7,6,4,25263052,6315763,3195000,11378052,414.03828228306344,331.66417376601419,538.83815345739,0.01214058,0.01214058,0.01214058
New Jersey,North Wildwood,3,2,4,2127800,531950,229000,719900,124.18051697495022,99.406348999897816,139.35469485966982,,,
Connecticut,South Windsor,1,1,4,208800,52200,20000,79900,43.060600711637974,9.2903129906446544,63.731547115822337,,,
Rhode Island,Narragansett,2,1,4,3658999,914749.75,184999,1395000,91.091518873270843,41.620602198088058,166.94692444188445,0.045864413333333333,0.028328020000000002,0.07284348
New York,Montauk,1,1,4,2586999,646749.75,549000,799000,49.912206542238408,44.593502355094344,64.010256505541676,1.9222584999999999,1.9222584999999999,1.9222584999999999
Connecticut,Norwich,0,1,4,509000,127250,115000,140000,53.512202826113217,53.512202826113217,53.512202826113217,,,
Massachusetts,Mashpee,2,1,4,878900,219725,129900,379000,93.832161205511014,71.349603768150956,154.59080816432706,1.2990420599999999,0.1011715,2.49691262
New York,Yorktown Heights,1,1,4,912900,228225,199000,289000,74.903148487072528,71.99992567749608,78.967660420479575,,,
New Hampshire,Lincoln,1,2,4,351900,87975,40000,219900,68.748316130770462,66.890253532641523,74.322503925157235,,,
Connecticut,Killingly,2,2,4,678700,169675,38900,249900,105.35214931391039,83.241204396176116,133.40889454565726,,,
Rhode Island,North Kingstown,2,1,4,861900,215475,100000,349000,82.219269967205207,75.808954003660389,91.045067308317627,0.0607029,0.0607029,0.0607029
New Hampshire,Laconia,2,2,4,1200500,300125,250000,332500,98.918607567888969,78.781854160666683,112.970205966239,,,
Rhode Island,East Greenwich,3,2,4,1933900,483475,350000,574900,136.7069556573361,107.02440565222643,209.21784854931764,0.39659228,0.14568696,0.61512272
Vermont,Hartford,2,2,4,1047900,261975,229000,294900,109.37020968236421,98.756027090552678,125.60503163351574,,,
New Hampshire,Milford,2,2,4,1269800,317450,120000,449900,116.15213816553481,91.045067308317627,138.61146982041825,0.58477127,0.34802995999999997,0.82151257999999994
Rhode Island,Cumberland,2,2,4,1344700,336175,249900,415000,151.19984392274176,130.80760690827674,180.78949079794498,0.03642174,0.03642174,0.03642174
Massachusetts,Berlin,2,2,4,2144000,536000,499000,565000,142.18824032181647,141.677273107331,142.69920753630191,,,
Maine,Sanford,3,2,4,1229700,307425,235000,354900,142.69920753630188,124.86180659426417,148.64500785031447,0.17401497999999999,0.17401497999999999,0.17401497999999999
Puerto Rico,San Juan,2,3,4,5989900,1497475,189900,2800000,166.36627987996917,139.35469485966982,191.65915699699923,0.0607029,0.0607029,0.0607029
Massachusetts,Millbury,2,2,4,2099600,524900,514900,539900,176.79465621196778,171.87079032692611,178.46691255028384,,,
Connecticut,Greenwich,3,4,4,8365000,2091250,940000,3600000,270.51068850509569,125.41922537370284,420.57246908648352,0.095101209999999992,0.08498406,0.10521836
Massachusetts,West Bridgewater,2,2,4,1899000,474750,260000,675000,151.29274705264822,142.69920753630191,154.68371129423352,0.04451546,0.04451546,0.04451546
Vermont,Ludlow,1,2,4,736000,184000,57000,560000,77.365081429593374,68.469606741051109,96.9908676223302,,,
Puerto Rico,Caguas,3,3,4,640000,160000,104000,235000,153.42951904049647,106.83859939241353,190.63722256802833,0.048562320000000006,0.01618744,0.09307778
New Jersey,Pittsgrove,2,2,4,173617,43404.25,21000,69000,92.2063564321482,88.443779670937118,95.411514413920614,0.03642174,0.03642174,0.03642174
Puerto Rico,Dorado,2,2,4,2325000,581250,55000,1125000,101.89150772489526,74.322503925157235,117.05794368212266,0.04451546,0.04451546,0.04451546
Delaware,Middletown,4,4,4,2272800,568200,519900,597000,295.96614609946209,250.37393509787347,316.33515733145049,0.14366352999999998,0.08498406,0.202343
New York,Fishkill,3,2,4,1538900,384725,345000,429900,150.54952201339663,124.86180659426417,184.69142225401575,0.65424236666666669,0.09712464,1.46091646
Connecticut,East Granby,3,3,4,1939600,484900,289900,799900,191.00883508765412,149.20242662975315,269.32617359878856,0.51799807999999992,0.21043672,1.1128865
New Hampshire,Chichester,2,2,4,2122700,530675,424900,603000,144.51081856947761,139.9121136391085,149.10952349984672,,,
